1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: B70000002B14CC21
Is Mission Active?  true
Mission Start:  Thu Jun 28 11:55:00 AEST 2018
Sample Rate:  Every 10 minute(s)
Number of Mission Samples:  4749
Total Samples:  2201261
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
6/28/18, 11:55:00 AM,C,24
6/28/18, 12:05:00 PM,C,24
6/28/18, 12:15:00 PM,C,23.5
6/28/18, 12:25:00 PM,C,23.5
6/28/18, 12:35:00 PM,C,23.5
6/28/18, 12:45:00 PM,C,23.5
6/28/18, 12:55:00 PM,C,23
6/28/18, 1:05:00 PM,C,23
6/28/18, 1:15:00 PM,C,23
6/28/18, 1:25:00 PM,C,23
6/28/18, 1:35:00 PM,C,23
6/28/18, 1:45:00 PM,C,23
6/28/18, 1:55:00 PM,C,23
6/28/18, 2:05:00 PM,C,23
6/28/18, 2:15:00 PM,C,23
6/28/18, 2:25:00 PM,C,23.5
6/28/18, 2:35:00 PM,C,18.5
6/28/18, 2:45:00 PM,C,17
6/28/18, 2:55:00 PM,C,17
6/28/18, 3:05:00 PM,C,16.5
6/28/18, 3:15:00 PM,C,17
6/28/18, 3:25:00 PM,C,17
6/28/18, 3:35:00 PM,C,17
6/28/18, 3:45:00 PM,C,17
6/28/18, 3:55:00 PM,C,17
6/28/18, 4:05:00 PM,C,17
6/28/18, 4:15:00 PM,C,17
6/28/18, 4:25:00 PM,C,17
6/28/18, 4:35:00 PM,C,17
6/28/18, 4:45:00 PM,C,17
6/28/18, 4:55:00 PM,C,17
6/28/18, 5:05:00 PM,C,17
6/28/18, 5:15:00 PM,C,17
6/28/18, 5:25:00 PM,C,17
6/28/18, 5:35:00 PM,C,17
6/28/18, 5:45:00 PM,C,20.5
6/28/18, 5:55:00 PM,C,21
6/28/18, 6:05:00 PM,C,21
6/28/18, 6:15:00 PM,C,21
6/28/18, 6:25:00 PM,C,21
6/28/18, 6:35:00 PM,C,21
6/28/18, 6:45:00 PM,C,21
6/28/18, 6:55:00 PM,C,21
6/28/18, 7:05:00 PM,C,21
6/28/18, 7:15:00 PM,C,21
6/28/18, 7:25:00 PM,C,21
6/28/18, 7:35:00 PM,C,21
6/28/18, 7:45:00 PM,C,20.5
6/28/18, 7:55:00 PM,C,20.5
6/28/18, 8:05:00 PM,C,20.5
6/28/18, 8:15:00 PM,C,20.5
6/28/18, 8:25:00 PM,C,20.5
6/28/18, 8:35:00 PM,C,20.5
6/28/18, 8:45:00 PM,C,20.5
6/28/18, 8:55:00 PM,C,20.5
6/28/18, 9:05:00 PM,C,20.5
6/28/18, 9:15:00 PM,C,20.5
6/28/18, 9:25:00 PM,C,20.5
6/28/18, 9:35:00 PM,C,20.5
6/28/18, 9:45:00 PM,C,20.5
6/28/18, 9:55:00 PM,C,20.5
6/28/18, 10:05:00 PM,C,20
6/28/18, 10:15:00 PM,C,20
6/28/18, 10:25:00 PM,C,20
6/28/18, 10:35:00 PM,C,20
6/28/18, 10:45:00 PM,C,20
6/28/18, 10:55:00 PM,C,21
6/28/18, 11:05:00 PM,C,21
6/28/18, 11:15:00 PM,C,21
6/28/18, 11:25:00 PM,C,21
6/28/18, 11:35:00 PM,C,21
6/28/18, 11:45:00 PM,C,21
6/28/18, 11:55:00 PM,C,21
6/29/18, 12:05:00 AM,C,21
6/29/18, 12:15:00 AM,C,20.5
6/29/18, 12:25:00 AM,C,20.5
6/29/18, 12:35:00 AM,C,20.5
6/29/18, 12:45:00 AM,C,20.5
6/29/18, 12:55:00 AM,C,20.5
6/29/18, 1:05:00 AM,C,20.5
6/29/18, 1:15:00 AM,C,20.5
6/29/18, 1:25:00 AM,C,20.5
6/29/18, 1:35:00 AM,C,20.5
6/29/18, 1:45:00 AM,C,20.5
6/29/18, 1:55:00 AM,C,20.5
6/29/18, 2:05:00 AM,C,20.5
6/29/18, 2:15:00 AM,C,20
6/29/18, 2:25:00 AM,C,20
6/29/18, 2:35:00 AM,C,20
6/29/18, 2:45:00 AM,C,20
6/29/18, 2:55:00 AM,C,21
6/29/18, 3:05:00 AM,C,21
6/29/18, 3:15:00 AM,C,21
6/29/18, 3:25:00 AM,C,21
6/29/18, 3:35:00 AM,C,21
6/29/18, 3:45:00 AM,C,21
6/29/18, 3:55:00 AM,C,21
6/29/18, 4:05:00 AM,C,21
6/29/18, 4:15:00 AM,C,21
6/29/18, 4:25:00 AM,C,20.5
6/29/18, 4:35:00 AM,C,20.5
6/29/18, 4:45:00 AM,C,20.5
6/29/18, 4:55:00 AM,C,20.5
6/29/18, 5:05:00 AM,C,20.5
6/29/18, 5:15:00 AM,C,20.5
6/29/18, 5:25:00 AM,C,20.5
6/29/18, 5:35:00 AM,C,20.5
6/29/18, 5:45:00 AM,C,20.5
6/29/18, 5:55:00 AM,C,20.5
6/29/18, 6:05:00 AM,C,20
6/29/18, 6:15:00 AM,C,20
6/29/18, 6:25:00 AM,C,20
6/29/18, 6:35:00 AM,C,20
6/29/18, 6:45:00 AM,C,21
6/29/18, 6:55:00 AM,C,21
6/29/18, 7:05:00 AM,C,21
6/29/18, 7:15:00 AM,C,21
6/29/18, 7:25:00 AM,C,21
6/29/18, 7:35:00 AM,C,21
6/29/18, 7:45:00 AM,C,21
6/29/18, 7:55:00 AM,C,20.5
6/29/18, 8:05:00 AM,C,20.5
6/29/18, 8:15:00 AM,C,20.5
6/29/18, 8:25:00 AM,C,20.5
6/29/18, 8:35:00 AM,C,20.5
6/29/18, 8:45:00 AM,C,20.5
6/29/18, 8:55:00 AM,C,20.5
6/29/18, 9:05:00 AM,C,20.5
6/29/18, 9:15:00 AM,C,20.5
6/29/18, 9:25:00 AM,C,20.5
6/29/18, 9:35:00 AM,C,20
6/29/18, 9:45:00 AM,C,20
6/29/18, 9:55:00 AM,C,20
6/29/18, 10:05:00 AM,C,20.5
6/29/18, 10:15:00 AM,C,21.5
6/29/18, 10:25:00 AM,C,22
6/29/18, 10:35:00 AM,C,22
6/29/18, 10:45:00 AM,C,22
6/29/18, 10:55:00 AM,C,22
6/29/18, 11:05:00 AM,C,22
6/29/18, 11:15:00 AM,C,22
6/29/18, 11:25:00 AM,C,22
6/29/18, 11:35:00 AM,C,22
6/29/18, 11:45:00 AM,C,22
6/29/18, 11:55:00 AM,C,21.5
6/29/18, 12:05:00 PM,C,21.5
6/29/18, 12:15:00 PM,C,21.5
6/29/18, 12:25:00 PM,C,21.5
6/29/18, 12:35:00 PM,C,21.5
6/29/18, 12:45:00 PM,C,21.5
6/29/18, 12:55:00 PM,C,21.5
6/29/18, 1:05:00 PM,C,21.5
6/29/18, 1:15:00 PM,C,21.5
6/29/18, 1:25:00 PM,C,21.5
6/29/18, 1:35:00 PM,C,21
6/29/18, 1:45:00 PM,C,21
6/29/18, 1:55:00 PM,C,21
6/29/18, 2:05:00 PM,C,21
6/29/18, 2:15:00 PM,C,21
6/29/18, 2:25:00 PM,C,21
6/29/18, 2:35:00 PM,C,22
6/29/18, 2:45:00 PM,C,22
6/29/18, 2:55:00 PM,C,22
6/29/18, 3:05:00 PM,C,22
6/29/18, 3:15:00 PM,C,22
6/29/18, 3:25:00 PM,C,22
6/29/18, 3:35:00 PM,C,22
6/29/18, 3:45:00 PM,C,22
6/29/18, 3:55:00 PM,C,21.5
6/29/18, 4:05:00 PM,C,21.5
6/29/18, 4:15:00 PM,C,21.5
6/29/18, 4:25:00 PM,C,21.5
6/29/18, 4:35:00 PM,C,21.5
6/29/18, 4:45:00 PM,C,21.5
6/29/18, 4:55:00 PM,C,21.5
6/29/18, 5:05:00 PM,C,21.5
6/29/18, 5:15:00 PM,C,21.5
6/29/18, 5:25:00 PM,C,21
6/29/18, 5:35:00 PM,C,21
6/29/18, 5:45:00 PM,C,21
6/29/18, 5:55:00 PM,C,21
6/29/18, 6:05:00 PM,C,21.5
6/29/18, 6:15:00 PM,C,22
6/29/18, 6:25:00 PM,C,22
6/29/18, 6:35:00 PM,C,22
6/29/18, 6:45:00 PM,C,22
6/29/18, 6:55:00 PM,C,22
6/29/18, 7:05:00 PM,C,22
6/29/18, 7:15:00 PM,C,21.5
6/29/18, 7:25:00 PM,C,21.5
6/29/18, 7:35:00 PM,C,21.5
6/29/18, 7:45:00 PM,C,21.5
6/29/18, 7:55:00 PM,C,21.5
6/29/18, 8:05:00 PM,C,21.5
6/29/18, 8:15:00 PM,C,21.5
6/29/18, 8:25:00 PM,C,21.5
6/29/18, 8:35:00 PM,C,21
6/29/18, 8:45:00 PM,C,21
6/29/18, 8:55:00 PM,C,21
6/29/18, 9:05:00 PM,C,21
6/29/18, 9:15:00 PM,C,21.5
6/29/18, 9:25:00 PM,C,22
6/29/18, 9:35:00 PM,C,22
6/29/18, 9:45:00 PM,C,22
6/29/18, 9:55:00 PM,C,22
6/29/18, 10:05:00 PM,C,22
6/29/18, 10:15:00 PM,C,22
6/29/18, 10:25:00 PM,C,21.5
6/29/18, 10:35:00 PM,C,21.5
6/29/18, 10:45:00 PM,C,21.5
6/29/18, 10:55:00 PM,C,21.5
6/29/18, 11:05:00 PM,C,21.5
6/29/18, 11:15:00 PM,C,21.5
6/29/18, 11:25:00 PM,C,21.5
6/29/18, 11:35:00 PM,C,21
6/29/18, 11:45:00 PM,C,21
